manufacturer_name,model_number,product_name,motor_type,horsepower,kilowatts,voltage,frequency_hz,rpm_synchronous,rpm_full_load,frame_size,enclosure_type,efficiency_class,efficiency_percent,phase,mounting,service_factor,full_load_amps,locked_rotor_amps,power_factor,weight_kg,nema_design,insulation_class,ambient_temp_c,ip_rating,duty_cycle,certifications,datasheet_url,image_url,product_url,application_notes,country_of_origin,lead_time_weeks,list_price_usd,warranty_years
ABB,M3BP 315 SMC 4,M3BP 315 Process Performance Motor,AC_Induction,250,185,460V,60,1800,1785,326T,TEFC,IE3,96.2,3,Foot,1.15,260,,0.87,1150,B,F,40,IP55,Continuous,"CSA,UL,CE",,,,Heavy industrial - pumps/fans/compressors,Finland,6,,3
Siemens,1LE1604-2BB23-4AB4,SIMOTICS GP 1LE1 General Purpose Motor,AC_Induction,30,22,460V,60,1800,1775,286T,TEFC,IE3,93.6,3,Foot,1.15,38.5,,0.86,185,B,F,40,IP55,Continuous,"UL,CSA,CE",,,,Standard industrial - pumps/fans,Germany,4,,3
WEG,W22 01518ET3E254T,W22 15HP 3-Phase TEFC Motor,AC_Induction,15,11,208-230/460V,60,1800,1770,254T,TEFC,NEMA Premium,92.4,3,Foot,1.15,20.4,,0.83,95,B,F,40,IP55,Continuous,"UL,CSA,CE",,,,General industrial - conveyors/blowers,Brazil,3,,3
Baldor-Reliance,EM3774T,Baldor-Reliance Super-E 10HP Motor,AC_Induction,10,7.5,208-230/460V,60,1800,1770,215T,TEFC,NEMA Premium,91.7,3,Foot,1.15,12.8,,0.81,82,B,F,40,IP55,Continuous,"UL,CSA",,,,General purpose industrial,USA,2,,3
Marathon,GT1024A,Marathon Blue Chip 5HP Motor,AC_Induction,5,3.7,208-230/460V,60,1800,1755,184T,TEFC,NEMA Premium,89.5,3,Foot,1.15,6.9,,0.82,42,B,F,40,IP55,Continuous,"UL,CSA",,,,HVAC/pumps/machine tools,USA,2,,3
Leeson,131504.00,Leeson 1HP C Face Motor,AC_Induction,1,0.75,115/230V,60,1800,1740,56C,ODP,IE2,82.5,1,C-Face,1.15,12.6/6.3,,0.62,12,B,F,40,IP20,Continuous,"UL,CSA",,,,Light duty - fans/small pumps,USA,1,,2
Nidec (U.S. Motors),EE706,U.S. Motors 1/2HP ODP Motor,AC_Induction,0.5,0.37,115/230V,60,1800,1725,56,ODP,IE2,78.0,1,Foot,1.25,8.0/4.0,,0.58,8,B,B,40,IP20,Continuous,"UL,CSA",,,,Light commercial - fans/blowers,Mexico,1,,2
Marathon,Y576,Marathon Severe Duty 50HP Motor,AC_Induction,50,37,460V,60,1800,1780,326T,TEFC,NEMA Premium,94.5,3,Foot,1.15,60,,0.86,295,B,F,40,IP55,Continuous,"UL,CSA,IEEE 841",,,,Severe duty - mining/petrochemical,USA,4,,5
WEG,W22 00136ET3E56,W22 1/3HP 3-Phase Motor,AC_Induction,0.333,0.25,208-230/460V,60,1800,1710,56,TEFC,IE2,72.0,3,Foot,1.15,1.6,,0.58,6,B,F,40,IP55,Continuous,"UL,CSA",,,,Small machinery/material handling,Brazil,2,,3
ABB,M2BAX 160 MLA4,M2BAX 160 General Performance Motor,AC_Induction,20,15,460V,60,1800,1775,256T,TEFC,IE3,93.0,3,Foot,1.15,25.5,,0.84,130,B,F,40,IP55,Continuous,"CSA,UL,CE",,,,Industrial pumps/compressors,Finland,5,,3
