manufacturer_name,model_number,product_name,chain_type,ansi_chain_number,pitch_inches,tensile_strength_lbs,working_load_lbs,number_of_strands,roller_diameter_inches,pin_diameter_inches,plate_height_inches,plate_thickness_inches,overall_width_inches,weight_per_foot_lbs,material,surface_treatment,connecting_link_type,lube_free,corrosion_resistant,pre_loaded,application_notes,country_of_origin,datasheet_url,image_url,product_url
Tsubaki,RS40-1,RS Roller Chain ANSI 40,Standard,40,0.500,3430,858,1,0.312,0.156,0.472,0.060,0.500,0.41,Carbon Steel,Standard,Slip-Fit,No,No,No,"Light duty conveying, small machinery",Japan,,,
Tsubaki,RS50-1,RS Roller Chain ANSI 50,Standard,50,0.625,4770,1193,1,0.400,0.200,0.602,0.080,0.750,0.68,Carbon Steel,Standard,Slip-Fit,No,No,No,"General power transmission",Japan,,,
Tsubaki,RS60-1,RS Roller Chain ANSI 60,Standard,60,0.750,8580,2145,1,0.469,0.234,0.720,0.094,0.875,1.00,Carbon Steel,Standard,Slip-Fit,No,No,No,"General industrial drives",Japan,,,
Tsubaki,RS80-1,RS Roller Chain ANSI 80,Standard,80,1.000,14500,3625,1,0.625,0.312,0.960,0.125,1.000,1.65,Carbon Steel,Standard,Slip-Fit,No,No,No,"General power transmission, moderate loads",Japan,,,
Tsubaki,RS100-1,RS Roller Chain ANSI 100,Standard,100,1.250,24000,6000,1,0.750,0.375,1.185,0.156,1.250,2.58,Carbon Steel,Standard,Cotter Pin,No,No,No,"Heavy duty power transmission",Japan,,,
Tsubaki,RS120-1,RS Roller Chain ANSI 120,Standard,120,1.500,34000,8500,1,0.875,0.437,1.420,0.187,1.563,3.72,Carbon Steel,Standard,Cotter Pin,No,No,No,"Heavy duty industrial drives",Japan,,,
Tsubaki,RS160-1,RS Roller Chain ANSI 160,Standard,160,2.000,58000,14500,1,1.125,0.562,1.900,0.250,1.875,6.57,Carbon Steel,Standard,Cotter Pin,No,No,No,"Very heavy duty applications",Japan,,,
Tsubaki,RS40-2,RS Roller Chain ANSI 40 Duplex,Double Strand,40-2,0.500,6860,1716,2,0.312,0.156,0.472,0.060,1.015,0.82,Carbon Steel,Standard,Slip-Fit,No,No,No,"Higher load double strand",Japan,,,
Tsubaki,RS60-2,RS Roller Chain ANSI 60 Duplex,Double Strand,60-2,0.750,17160,4290,2,0.469,0.234,0.720,0.094,1.765,2.00,Carbon Steel,Standard,Slip-Fit,No,No,No,"Heavy duty double strand drives",Japan,,,
Tsubaki,RS80-2,RS Roller Chain ANSI 80 Duplex,Double Strand,80-2,1.000,29000,7250,2,0.625,0.312,0.960,0.125,2.000,3.30,Carbon Steel,Standard,Slip-Fit,No,No,No,"High load double strand applications",Japan,,,
Tsubaki,LH1234,Lambda Lube-Free Chain ANSI 40,Lube-Free,40,0.500,3430,858,1,0.312,0.156,0.472,0.060,0.500,0.43,Sintered Alloy Bushings,Standard,Slip-Fit,Yes,No,No,"Lube-free environments, food processing",Japan,,,
Tsubaki,LH1244,Lambda Lube-Free Chain ANSI 50,Lube-Free,50,0.625,4770,1193,1,0.400,0.200,0.602,0.080,0.750,0.70,Sintered Alloy Bushings,Standard,Slip-Fit,Yes,No,No,"Lube-free environments, packaging",Japan,,,
Tsubaki,LH1254,Lambda Lube-Free Chain ANSI 60,Lube-Free,60,0.750,8580,2145,1,0.469,0.234,0.720,0.094,0.875,1.05,Sintered Alloy Bushings,Standard,Slip-Fit,Yes,No,No,"Lube-free environments, food manufacturing",Japan,,,
Tsubaki,LH1264,Lambda Lube-Free Chain ANSI 80,Lube-Free,80,1.000,14500,3625,1,0.625,0.312,0.960,0.125,1.000,1.72,Sintered Alloy Bushings,Standard,Slip-Fit,Yes,No,No,"Lube-free environments, pharmaceutical",Japan,,,
Tsubaki,G8-RS60-1,Gold & Silver G8 Chain ANSI 60,Heavy-Duty,60H,0.750,10400,2600,1,0.469,0.234,0.720,0.094,0.875,1.08,Carbon Steel,Gold Chromate,Slip-Fit,No,No,Yes,"Demanding drives, higher shock loads",Japan,,,
